temperature,humidity,luminosity,soil_moisture,needs_water
28.4,91,480,27,0
25.1,89,3278,25,0
14.4,29,1555,58,0
13.0,84,1015,70,0
15.8,72,1160,37,0
37.4,91,1973,57,0
34.3,72,3829,57,0
18.1,44,4851,82,0
23.0,32,417,100,0
37.3,38,2732,87,0
37.1,39,895,25,1
19.0,67,3431,56,0
29.5,35,677,81,0
14.0,21,1706,71,0
36.2,57,444,100,0
34.9,37,3084,20,1
21.4,66,341,17,1
15.6,39,1179,70,0
27.7,53,689,74,0
24.7,26,1657,93,0
27.1,27,2422,65,0
32.7,64,4610,79,0
39.8,84,575,77,0
19.0,72,2984,65,0
15.7,81,70,54,0
33.9,30,2608,10,1
37.2,72,368,23,1
29.3,61,2736,66,0
30.7,16,293,8,1
27.2,16,4984,35,1
16.4,69,2858,6,1
27.0,52,1348,33,0
32.5,69,2321,19,1
13.1,71,1235,30,0
33.2,81,3757,4,1
35.9,13,464,53,0
34.3,58,92,78,0
13.9,19,146,46,0
11.0,87,107,94,0
29.3,16,4402,45,1
34.6,66,1078,91,0
31.6,94,3486,51,0
18.4,43,3612,39,0
16.8,89,3948,20,0
36.2,75,4346,4,1
31.5,92,4353,12,1
21.2,75,3598,54,0
13.1,58,1699,84,0
33.7,30,1409,100,0
40.3,17,1615,58,0
24.8,44,4483,81,0
23.7,63,475,70,0
40.7,47,1410,58,0
16.9,11,3326,65,0
39.7,50,2223,51,0
20.2,48,2273,2,1
39.3,67,1969,53,0
14.0,70,3158,36,0
34.2,42,4599,43,0
15.7,86,2232,76,0
39.2,43,790,51,0
23.9,92,502,77,0
11.6,37,309,61,0
40.8,53,1957,68,0
30.5,33,2508,43,0
25.9,39,1484,20,0
25.8,59,1191,38,0
38.7,59,3554,68,0
36.2,51,4051,6,1
21.3,28,2088,74,0
20.8,14,2623,68,0
24.9,91,66,13,1
33.2,11,550,55,0
34.8,58,4826,30,1
40.8,19,325,27,1
33.5,52,4170,11,1
27.5,35,4033,33,0
27.1,23,3089,91,0
40.0,47,1850,38,1
27.5,18,4364,28,1
38.0,13,2273,90,0
40.5,94,2601,84,0
16.0,41,3967,3,1
22.3,56,322,18,1
38.3,21,4711,89,0
16.3,46,269,46,0
22.7,92,4225,15,1
11.5,17,82,18,1
41.5,46,2363,82,0
21.4,71,313,83,0
40.1,81,4622,21,1
38.2,14,3948,93,0
20.7,22,3089,89,0
10.2,37,1721,36,0
32.1,35,3291,43,0
12.8,45,320,75,0
37.8,32,571,54,0
14.3,94,2066,74,0
41.3,69,2169,90,0
27.9,47,4668,55,0
14.0,54,4567,2,1
25.6,44,4237,18,1
31.6,10,3871,67,0
11.7,76,2584,56,0
27.9,73,1178,22,0
35.8,56,2726,96,0
18.3,90,865,51,0
21.6,15,4909,26,1
40.8,85,1459,7,1
27.3,59,2064,62,0
39.0,94,2422,37,1
30.5,24,1950,42,0
26.5,72,4067,8,1
41.1,71,502,76,0
31.3,56,3398,36,1
29.0,16,115,34,0
17.5,82,2216,51,0
35.6,68,483,14,1
42.0,90,105,98,0
17.7,25,3043,59,0
19.5,41,3401,62,0
27.7,70,2076,25,0
29.9,45,1645,92,0
27.2,45,3336,73,0
39.4,60,2238,11,1
13.3,84,2548,45,0
10.4,67,4767,90,0
37.5,83,4511,86,0
20.6,35,1033,61,0
23.6,82,2514,13,1
13.8,21,4727,17,1
12.3,40,1042,67,0
15.8,17,4625,38,1
19.4,31,1140,19,1
18.2,75,4761,63,0
13.2,94,4627,91,0
40.0,53,3421,82,0
26.3,37,2467,26,0
18.2,84,2996,46,0
33.2,23,297,10,1
21.4,30,3032,6,1
34.0,32,3065,57,0
22.0,56,2768,28,0
28.0,83,988,44,0
38.4,38,2047,2,1
20.5,68,3490,54,0
25.0,11,3409,8,1
28.8,65,4149,97,0
40.3,28,4705,17,1
21.9,74,118,36,0
11.0,65,2701,77,0
24.8,46,719,99,0
35.4,59,491,13,1
27.9,92,4592,59,0
29.1,86,2203,69,0
26.3,73,3479,99,0
35.9,63,2427,59,0
40.6,33,1778,43,0
24.8,53,1803,81,0
27.4,71,3460,48,0
21.9,50,3844,7,1
33.1,30,1385,35,1
12.1,92,22,65,0
40.5,12,4289,52,0
12.2,67,1241,18,1
